,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2017-04-09,87.0,65.0,71.0,39.0,73.0,51.0,43.0,49.0,64.0,74.0,37.0,76.0,100.0,62.0,23.0,21.0
2017-04-16,89.0,71.0,77.0,44.0,78.0,43.0,67.0,41.0,72.0,88.0,56.0,86.0,65.0,73.0,36.0,20.0
2017-04-23,87.0,72.0,79.0,44.0,71.0,41.0,78.0,58.0,61.0,81.0,56.0,74.0,66.0,77.0,30.0,21.0
2017-04-30,85.0,75.0,82.0,42.0,71.0,44.0,66.0,52.0,60.0,82.0,65.0,71.0,69.0,72.0,29.0,22.0
2017-05-07,86.0,67.0,82.0,39.0,67.0,42.0,59.0,47.0,58.0,77.0,42.0,66.0,84.0,67.0,23.0,19.0
2017-05-14,85.0,75.0,80.0,47.0,69.0,46.0,61.0,49.0,56.0,76.0,44.0,73.0,79.0,70.0,26.0,19.0
2017-05-21,83.0,65.0,77.0,48.0,68.0,42.0,81.0,60.0,58.0,77.0,49.0,60.0,66.0,58.0,25.0,28.0
2017-05-28,81.0,64.0,75.0,50.0,72.0,42.0,58.0,42.0,59.0,77.0,50.0,100.0,68.0,67.0,18.0,33.0
2017-06-04,81.0,59.0,73.0,45.0,67.0,39.0,65.0,57.0,59.0,77.0,39.0,68.0,64.0,72.0,20.0,46.0
2017-06-11,85.0,60.0,74.0,47.0,70.0,42.0,70.0,43.0,60.0,78.0,58.0,69.0,66.0,79.0,17.0,48.0
2017-06-18,86.0,66.0,78.0,47.0,69.0,46.0,89.0,58.0,63.0,78.0,54.0,61.0,72.0,69.0,20.0,26.0
2017-06-25,86.0,70.0,76.0,41.0,67.0,47.0,63.0,60.0,63.0,79.0,62.0,75.0,68.0,76.0,21.0,20.0
2017-07-02,89.0,64.0,88.0,46.0,74.0,43.0,66.0,66.0,65.0,88.0,62.0,74.0,69.0,84.0,23.0,30.0
2017-07-09,87.0,61.0,85.0,45.0,68.0,42.0,69.0,58.0,61.0,81.0,58.0,74.0,61.0,76.0,25.0,28.0
